Desc	Family ID	AspNid	ConCor	SacCer	ggMorZona1	ggMucLanc1	ggRhiOryz1	gzAbsCyli1	gzAbsGlau1	gzCunBlak1	gzCunEchi1	gzLicCory1	gzLinHyal1	gzMorAlpi1	gzMucCirc1	gzMucCirc2	gzMucFrag1	gzMucHiem1	gzMucPlum2	gzPodHuml1	gzRhiMicr1	gzRhiStol1	gzUmbIsab1	gzUmbRama1	gzUmbVina1
(null)	N0.HOG0000091	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
(null)	N0.HOG0000092	6	0	0	5	1	1	2	0	1	1	3	0	1	1	0	2	3	2	6	8	1	0	1	2
(null)	N0.HOG0000093	1	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000094	1	0	0	8	0	6	1	2	3	0	13	11	8	0	3	0	0	1	4	6	0	0	0	6
(null)	N0.HOG0000095	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000096	1	1	2	2	2	4	4	3	3	4	5	2	2	2	2	2	2	2	2	2	3	2	2	2
(null)	N0.HOG0000097	1	38	0	6	3	4	4	4	4	9	2	6	13	1	1	1	1	1	11	1	3	0	2	2
(null)	N0.HOG0000098	2	0	0	0	6	8	10	12	17	12	16	0	0	13	13	14	14	12	0	6	8	1	3	2
(null)	N0.HOG0000099	0	0	0	0	7	20	34	3	15	12	7	0	0	7	4	10	13	6	0	10	17	0	0	1
(null)	N0.HOG0000100	0	0	0	0	12	46	4	2	9	5	5	0	0	10	5	3	12	6	0	13	30	0	0	3
(null)	N0.HOG0000101	1	1	0	0	7	10	9	9	5	5	6	0	1	7	7	7	7	7	1	7	7	5	5	5
(null)	N0.HOG0000102	0	0	1	3	2	1	2	1	1	1	2	3	3	2	2	2	2	2	4	1	3	1	1	1
(null)	N0.HOG0000103	1	3	0	2	2	4	5	3	2	2	4	2	2	2	2	2	2	2	2	2	4	2	2	2
(null)	N0.HOG0000104	1	2	2	2	5	5	9	8	6	6	5	2	2	6	6	6	5	6	2	4	4	3	3	3
(null)	N0.HOG0000105	0	2	0	11	12	10	3	11	0	5	6	3	3	22	16	8	8	17	6	1	8	2	0	2
(null)	N0.HOG0000106	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000107	6	24	0	14	1	2	2	1	1	1	1	16	6	5	3	4	3	6	17	1	1	5	8	8
(null)	N0.HOG0000108	1	10	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
(null)	N0.HOG0000109	0	1	0	10	9	7	8	9	14	11	9	9	8	5	5	5	6	6	14	5	5	3	2	3
(null)	N0.HOG0000110	0	0	0	3	4	36	9	8	3	6	3	3	3	5	4	4	7	6	1	23	17	0	0	7
(null)	N0.HOG0000111	2	1	0	2	2	4	2	2	1	1	2	2	2	3	3	3	3	3	2	2	4	3	3	3
(null)	N0.HOG0000112	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
(null)	N0.HOG0000113	1	1	0	2	5	8	3	4	2	2	7	2	2	6	6	6	6	6	2	4	7	3	3	3
(null)	N0.HOG0000114	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000115	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
(null)	N0.HOG0000116	1	2	1	2	7	11	14	12	7	9	9	2	2	7	6	7	7	7	2	6	11	6	6	6
(null)	N0.HOG0000117	1	1	3	2	2	2	3	4	2	2	1	2	2	2	2	2	2	2	3	1	1	3	3	3
(null)	N0.HOG0000118	1	1	0	3	6	7	9	7	5	5	6	3	4	5	5	4	6	5	3	4	5	2	2	3
(null)	N0.HOG0000119	1	1	0	0	5	14	6	12	12	10	22	0	0	5	8	8	10	7	0	10	15	0	0	0
(null)	N0.HOG0000120	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000121	1	1	0	1	1	1	2	2	1	1	2	1	1	1	1	1	0	1	1	1	0	2	2	2
(null)	N0.HOG0000122	1	1	1	5	6	9	8	8	4	4	6	5	6	6	6	8	6	5	5	6	7	3	3	3
(null)	N0.HOG0000123	0	0	0	37	0	0	0	0	0	0	0	33	29	0	0	0	0	0	51	0	0	0	0	0
(null)	N0.HOG0000124	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000125	2	0	3	0	7	9	12	11	7	7	8	0	0	7	7	7	7	7	0	6	9	3	3	3
(null)	N0.HOG0000126	2	0	2	3	0	0	0	0	0	0	1	3	3	0	0	0	0	0	3	2	1	0	0	0
(null)	N0.HOG0000127	0	1	0	0	1	12	101	15	1	1	2	0	0	1	1	1	1	1	1	1	4	1	1	1
(null)	N0.HOG0000128	1	1	1	1	1	2	3	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
(null)	N0.HOG0000129	1	0	2	2	2	4	2	2	1	1	2	2	2	2	1	2	1	2	2	2	3	2	2	2
(null)	N0.HOG0000130	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1
(null)	N0.HOG0000131	1	1	4	2	3	4	6	4	4	4	3	2	2	3	3	3	3	3	2	2	4	2	2	2
(null)	N0.HOG0000132	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000133	3	0	0	3	4	7	6	6	5	4	7	3	4	5	5	5	5	4	3	3	6	3	4	4
(null)	N0.HOG0000134	5	0	0	0	5	0	0	0	0	0	1	0	0	4	4	4	2	5	0	6	4	0	0	0
(null)	N0.HOG0000135	4	1	2	5	6	6	8	9	7	6	8	5	7	7	6	6	6	6	7	4	6	7	7	7
(null)	N0.HOG0000136	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
(null)	N0.HOG0000137	6	11	1	5	3	4	4	6	3	3	12	5	3	9	10	10	7	12	5	2	5	5	3	4
(null)	N0.HOG0000138	5	13	2	0	5	8	9	9	12	4	3	0	0	11	10	10	9	10	0	5	4	6	4	2
(null)	N0.HOG0000139	0	1	0	4	6	7	9	10	6	7	12	5	5	6	6	6	6	6	4	5	8	7	7	7
(null)	N0.HOG0000140	1	1	2	2	4	7	6	7	4	4	3	2	2	5	5	5	5	5	2	4	7	3	2	2
(null)	N0.HOG0000141	1	1	2	2	2	3	3	2	2	2	2	2	2	2	2	2	1	2	2	2	3	2	2	2
(null)	N0.HOG0000142	0	0	0	0	10	36	3	11	0	2	5	0	1	7	5	1	12	8	0	9	14	1	6	5
(null)	N0.HOG0000143	7	0	3	3	6	8	10	10	3	3	10	3	3	8	7	8	7	8	3	6	10	3	2	3
(null)	N0.HOG0000144	4	1	0	11	3	2	7	5	9	9	9	12	9	5	5	4	5	4	12	3	3	4	4	4
(null)	N0.HOG0000145	0	0	0	6	4	10	7	6	3	3	5	6	8	6	6	6	8	7	9	5	10	6	6	6
(null)	N0.HOG0000146	4	4	2	5	4	11	4	3	4	3	3	5	7	9	8	10	8	8	6	6	10	2	2	2
(null)	N0.HOG0000147	0	0	0	0	3	14	5	7	7	4	7	0	0	13	10	10	8	12	0	10	12	1	2	3
(null)	N0.HOG0000148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0
(null)	N0.HOG0000149	1	2	2	2	7	10	10	7	5	7	6	2	2	6	8	7	7	6	2	6	9	4	4	4
(null)	N0.HOG0000150	1	2	0	1	2	2	2	1	1	1	2	2	2	3	2	2	2	1	1	2	3	1	1	1
(null)	N0.HOG0000151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
(null)	N0.HOG0000152	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
(null)	N0.HOG0000153	2	1	1	2	4	5	7	7	4	5	5	2	3	4	4	4	6	4	2	2	4	1	1	1
(null)	N0.HOG0000154	0	0	0	1	7	8	8	8	5	4	7	1	1	7	7	7	7	7	1	7	7	8	9	8
(null)	N0.HOG0000155	0	0	0	0	6	20	2	2	2	0	3	0	0	7	7	0	5	15	0	30	5	1	5	15
(null)	N0.HOG0000156	0	0	0	0	2	3	14	15	21	29	8	0	0	3	3	3	3	3	0	2	4	4	4	4
(null)	N0.HOG0000157	11	0	0	5	4	4	4	5	3	3	12	5	5	8	9	7	5	6	4	4	2	4	7	3
(null)	N0.HOG0000158	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
(null)	N0.HOG0000159	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
(null)	N0.HOG0000160	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0
(null)	N0.HOG0000161	6	2	0	0	2	4	3	4	2	2	4	0	0	3	3	3	3	3	0	2	5	3	3	3
(null)	N0.HOG0000162	5	0	0	2	2	5	3	5	2	2	4	2	1	2	2	2	2	2	2	2	3	2	2	2
(null)	N0.HOG0000163	1	2	0	4	6	10	8	8	6	6	5	4	4	6	6	6	6	6	4	6	10	3	3	3
(null)	N0.HOG0000164	0	0	1	3	6	8	12	10	6	6	7	3	3	6	6	6	6	8	2	5	7	4	4	4
(null)	N0.HOG0000165	0	0	0	0	6	11	4	5	3	3	6	0	1	11	10	11	10	11	2	7	12	3	3	4
(null)	N0.HOG0000166	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	N0.HOG0000167	3	1	0	2	6	4	8	7	6	6	7	2	2	6	6	6	6	6	7	3	4	5	8	8
(null)	N0.HOG0000168	1	1	0	3	7	7	7	8	5	5	8	3	3	6	6	6	6	6	3	6	8	4	4	4
(null)	N0.HOG0000169	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
(null)	N0.HOG0000170	2	1	1	15	3	3	2	4	2	2	2	16	13	3	3	3	3	3	25	2	2	4	4	3
(null)	N0.HOG0000171	0	0	0	0	3	27	6	0	7	1	4	0	0	7	7	4	24	1	0	11	19	0	0	0
(null)	N0.HOG0000172	1	1	2	2	7	9	10	9	5	5	9	3	2	6	6	6	6	6	2	5	8	3	4	3
(null)	N0.HOG0000173	1	2	1	2	7	8	7	7	5	4	5	2	3	7	7	7	8	7	2	7	8	5	4	4
(null)	N0.HOG0000174	0	0	0	0	5	26	5	5	3	3	2	0	0	4	4	4	4	4	0	25	20	2	1	3
(null)	N0.HOG0000175	1	2	2	1	7	6	7	10	6	6	6	1	1	7	7	7	8	7	1	4	10	4	4	4
