Orthogroup	Duplications (all)	Duplications (50% support)
OG0001160	7	7
OG0001161	5	5
OG0001162	7	5
OG0001163	6	4
OG0001164	8	7
OG0001165	9	8
OG0001166	10	7
OG0001167	4	4
OG0001168	5	3
OG0001169	38	38
OG0001170	18	6
OG0001171	14	8
OG0001172	7	7
OG0001173	6	5
OG0001174	22	20
OG0001175	3	3
OG0001176	8	8
OG0001177	9	6
OG0001178	3	2
OG0001179	7	5
OG0001180	9	4
OG0001181	8	3
OG0001182	6	5
OG0001183	7	7
OG0001184	9	6
OG0001185	5	5
OG0001186	7	5
OG0001187	5	4
OG0001188	14	12
OG0001189	7	5
OG0001190	5	3
OG0001191	4	4
OG0001192	7	7
OG0001193	6	4
OG0001194	3	3
OG0001195	10	9
OG0001196	6	6
OG0001197	6	6
OG0001198	2	2
OG0001199	4	3
OG0001200	1	1
OG0001201	4	3
OG0001202	12	9
OG0001203	8	8
OG0001204	4	4
OG0001205	8	6
OG0001206	5	4
OG0001207	5	4
OG0001208	8	7
OG0001209	2	1
OG0001210	7	7
OG0001211	2	2
OG0001212	3	3
OG0001213	7	4
OG0001214	6	5
OG0001215	6	5
OG0001216	5	3
OG0001217	4	3
OG0001218	23	16
OG0001219	8	7
OG0001220	8	6
OG0001221	7	5
OG0001222	7	6
OG0001223	5	5
OG0001224	6	5
OG0001225	5	5
OG0001226	12	9
OG0001227	6	6
OG0001228	5	3
OG0001229	9	9
OG0001230	7	6
OG0001231	8	7
OG0001232	23	16
OG0001233	27	23
OG0001234	4	3
OG0001235	9	9
OG0001236	6	3
OG0001237	8	4
OG0001238	4	3
OG0001239	4	4
OG0001240	7	7
OG0001241	7	4
OG0001242	3	2
OG0001243	10	9
OG0001244	3	3
OG0001245	3	3
OG0001246	6	4
OG0001247	9	9
OG0001248	10	7
OG0001249	3	0
OG0001250	4	3
OG0001251	6	4
OG0001252	4	3
OG0001253	5	4
OG0001254	3	3
OG0001255	8	6
OG0001256	7	7
OG0001257	5	5
OG0001258	5	4
OG0001259	6	4
OG0001260	2	2
OG0001261	7	7
OG0001262	6	4
OG0001263	6	6
OG0001264	9	7
OG0001265	6	5
OG0001266	5	5
OG0001267	6	5
OG0001268	3	3
OG0001269	6	2
OG0001270	7	6
OG0001271	8	7
OG0001272	6	6
OG0001273	2	2
OG0001274	7	4
OG0001275	8	7
OG0001276	6	4
OG0001277	8	6
OG0001278	2	2
OG0001279	8	8
OG0001280	6	3
OG0001281	5	4
OG0001282	5	4
OG0001283	7	6
OG0001284	4	3
OG0001285	8	7
OG0001286	6	5
OG0001287	9	6
OG0001288	8	6
OG0001289	8	7
OG0001290	6	6
OG0001291	4	2
OG0001292	5	5
OG0001293	6	5
OG0001294	7	7
OG0001295	5	4
OG0001296	6	4
OG0001297	6	5
OG0001298	7	5
OG0001299	4	3
OG0001300	4	3
OG0001301	8	7
OG0001302	3	2
OG0001303	13	12
OG0001304	6	6
OG0001305	2	2
OG0001306	5	3
OG0001307	5	2
OG0001308	8	7
OG0001309	9	7
OG0001310	7	6
OG0001311	7	3
OG0001312	6	5
OG0001313	3	3
OG0001314	6	5
OG0001315	3	3
OG0001316	2	2
OG0001317	5	3
OG0001318	3	2
OG0001319	8	5
OG0001320	8	2
OG0001321	10	9
OG0001322	5	3
OG0001323	10	8
OG0001324	6	5
OG0001325	5	3
OG0001326	5	5
OG0001327	6	4
OG0001328	8	7
OG0001329	5	5
OG0001330	4	3
OG0001331	3	0
OG0001332	4	2
OG0001333	9	8
OG0001334	7	5
OG0001335	5	4
OG0001336	4	3
OG0001337	6	4
OG0001338	9	8
OG0001339	3	2
OG0001340	7	3
OG0001341	10	8
OG0001342	10	7
OG0001343	8	5
OG0001344	9	7
OG0001345	5	4
OG0001346	8	6
